page_number,text,page_number,bucket,confidence,error
34,"BERKLEY CASUALTY COMPANY 
SMALL BUSINESS TRANSPORTATION PROGRAM 
DIVISION ONE - AUTOMOBILE COMMERCIAL LINES MANUAL 
 
Company Rules 
 
MULTISTATE 
 
CRR Driver Quality Factor - 5 Edition 08 24 
 
 
36   1.000 
 
Table 2-7. Average MVR Score 
Average MVR Score 
Greater And less than or Selected Greater And less than or Selected 
than equal to Factor than equal to Factor 
0 1 1.000 1.628 1.644 1.727 
1 1.02 1.014 1.644 1.66 1.750 
1.02 1.036 1.028 1.66 1.676 1.773 
1.036 1.052 1.042 1.676 1.692 1.797 
1.052 1.068 1.056 1.692 1.708 1.821 
1.068 1.084 1.071 1.708 1.724 1.845 
1.084 1.1 1.086 1.724 1.74 1.869 
1.1 1.116 1.101 1.74 1.756 1.894 
1.116 1.132 1.116 1.756 1.788 1.919 
1.132 1.148 1.131 1.788 1.82 1.944 
1.148 1.164 1.147 1.82 1.852 1.969 
1.164 1.18 1.163 1.852 1.884 1.997 
1.18 1.196 1.179 1.884 1.916 2.025 
1.196 1.212 1.195 1.916 1.948 2.053 
1.212 1.228 1.212 1.948 1.98 2.081 
1.228 1.244 1.228 1.98 2.012 2.113 
1.244 1.26 1.245 2.012 2.044 2.145 
1.26 1.276 1.263 2.044 2.076 2.177 
1.276 1.292 1.280 2.076 2.108 2.209 
1.292 1.308 1.298 2.108 2.14 2.244 
1.308 1.324 1.316 2.14 2.172 2.279 
1.324 1.34 1.334 2.172 2.204 2.314 
1.34 1.356 1.352 2.204 2.252 2.349 
1.356 1.372 1.371 2.252 2.3 2.389 
1.372 1.388 1.390 2.3 2.348 2.429 
1.388 1.404 1.409 2.348 2.396 2.469 
1.404 1.42 1.429 2.396 2.444 2.509 
1.42 1.436 1.449 2.444 2.492 2.551 
1.436 1.452 1.469 2.492 2.54 2.593 
1.452 1.468 1.489 2.54 2.588 2.635 
1.468 1.484 1.509 2.588 2.636 2.677 
1.484 1.5 1.530 2.636 2.684 2.722",1.0,factor table,0.95,
35,"BERKLEY CASUALTY COMPANY 
SMALL BUSINESS TRANSPORTATION PROGRAM 
DIVISION ONE - AUTOMOBILE COMMERCIAL LINES MANUAL 
 
Company Rules 
 
MULTISTATE 
 
CRR Driver Quality Factor - 6 Edition 08 24 
 
 
1.5 1.516 1.551 2.684 2.732 2.767 
1.516 1.532 1.572 2.732 2.78 2.812 
1.532 1.548 1.593 2.78 2.828 2.857 
1.548 1.564 1.615 2.828 2.876 2.905 
1.564 1.58 1.637 2.876 2.924 2.953 
1.58 1.596 1.659 2.924 2.972 3.001 
1.596 1.612 1.681 2.972 3.02 3.049 
1.612 1.628 1.704 3.02   3.099",1.0,factor table,0.95,
36,"BERKLEY CASUALTY COMPANY 
SMALL BUSINESS TRANSPORTATION PROGRAM 
DIVISION ONE - AUTOMOBILE COMMERCIAL LINES MANUAL 
 
Company Rules 
 
MULTISTATE 
 
CRR Driver Quality Factor - 1 Edition 08 24 
 
 
DRIVER QUALITY FACTOR 
A Driver Quality Factor will be applied multiplicatively to Liability, No Fault, Medical Payments, Comprehensive, 
Specified Causes of Loss, and Collision coverages.  This is applicable only to Trucks Tractors and Trailers, and will 
not be modified because of midterm changes. 
The following variables are used in determining the Driver Quality Factor: 
• Driver Experience: Years of driving experience for each driver 
• Motor Vehicle Record (MVR): Considers driver violations and incidents related to each driver 
The Driver Quality Factor is calculated as: 
Driver Quality Factor = 
   (Average Driver Quality Score x Number of Listed Drivers + 1.15 x Number of Undisclosed Drivers) 
/ (Number of Listed Drivers + Number of Undisclosed Drivers) 
Where, 
Average Driver Quality Score = Average Driver Experience Score Factor 
           x Average MVR Score Factor 
Average Driver Experience Score = Average (Driver Experience Score for each driver) 
Average MVR Score = Average (Number of Super & Major Violations Factor 
           x Number of Minor Violations Factor 
           x Number of Other Administrative Violations Factor 
           x Number of Findings of Defective Equipment Factor 
           x Number of Incidents Factor 
           x Number of Months Since Last Incident Factor) 
The Driver Quality Factor calculated above will be applied to Liability, No Fault, Medical Payments, and Collision 
coverages. For Comprehensive and Specified Causes of Loss coverages, apply the following factor: 
Driver Quality Factor – Comprehensive = 0.25 x Driver Quality Factor + 0.75 x 1.000",1.0,rule,0.95,
37,"BERKLEY CASUALTY COMPANY 
SMALL BUSINESS TRANSPORTATION PROGRAM 
DIVISION ONE - AUTOMOBILE COMMERCIAL LINES MANUAL 
 
Company Rules 
 
MULTISTATE 
 
CRR Driver Quality Factor - 2 Edition 08 24 
 
 
Lookup Tables 
Table 1-1. Driver Experience 
Driver 
Experience Score 
Driver 
Experience Score 
Driver 
Experience Score 
Driver 
Experience Score 
0 1.57 20 1.026 40 0.962 60 1.063 
1 1.516 21 1.019 41 0.963 61 1.073 
2 1.465 22 1.012 42 0.965 62 1.084 
3 1.415 23 1.006 43 0.967 63 1.095 
4 1.369 24 1 44 0.969 64 1.106 
5 1.324 25 0.995 45 0.971 65 1.118 
6 1.281 26 0.99 46 0.975 66 1.131 
7 1.24 27 0.985 47 0.978 67 1.145 
8 1.201 28 0.981 48 0.982 68 1.159 
9 1.163 29 0.977 49 0.986 69 1.173 
10 1.128 30 0.974 50 0.991 70 or more 1.189 
11 1.115 31 0.971 51 0.996 Missing 1 
12 1.103 32 0.968 52 1.002   
13 1.092 33 0.966 53 1.008     
14 1.081 34 0.964 54 1.014     
15 1.07 35 0.963 55 1.021     
16 1.061 36 0.962 56 1.029     
17 1.051 37 0.961 57 1.036     
18 1.043 38 0.961 58 1.045     
19 1.034 39 0.962 59 1.054     
 
Table 1-2. Average Driver Experience Score 
Average Driver Experience Score 
Greater And less than or   
than equal to Factor 
0 0.986 0.989 
0.986 0.998 1.000 
0.998 1.01 1.020 
1.01 1.022 1.048 
1.022 1.034 1.087 
1.034 1.046 1.135 
1.046 1.058 1.196 
1.058 1.07 1.270 
1.07 1.082 1.344 
1.082 1.094 1.418",1.0,factor table,0.95,
38,"BERKLEY CASUALTY COMPANY 
SMALL BUSINESS TRANSPORTATION PROGRAM 
DIVISION ONE - AUTOMOBILE COMMERCIAL LINES MANUAL 
 
Company Rules 
 
MULTISTATE 
 
CRR Driver Quality Factor - 3 Edition 08 24 
 
 
1.094 1.106 1.492 
1.106 1.3 1.566 
1.3   1.750 
 
Table 2-1. Number of Super & Major Violations 
Number of Super & 
Major Violations Factor 
0 1.000 
1 1.354 
2 1.716 
3 2.117 
4 2.573 
5 3.098 
6 3.707 
7 4.414 
8 5.238 
9 6.197 
10 or more 7.315 
 
Table 2-2. Number of Minor Violations 
 
 
 
 
 
 
 
 
 
Table 2-3. Number of Other Administrative Violations 
Number of Other 
Administrative 
Violations Factor 
0 1.000 
Number of Minor 
Violations Factor 
0 1.000 
1 1.152 
2 1.252 
3 1.328 
4 1.390 
5 1.443 
6 1.489 
7 1.530 
8 1.567 
9 1.602 
10 ore more 1.633",1.0,factor table,0.95,
39,"BERKLEY CASUALTY COMPANY 
SMALL BUSINESS TRANSPORTATION PROGRAM 
DIVISION ONE - AUTOMOBILE COMMERCIAL LINES MANUAL 
 
Company Rules 
 
MULTISTATE 
 
CRR Driver Quality Factor - 4 Edition 08 24 
 
 
1 1.151 
2 1.250 
3 1.325 
4 1.386 
5 1.438 
6 1.484 
7 1.525 
8 1.561 
9 1.595 
10 or more 1.626 
 
Table 2-4. Number of Findings of Defective Equipment 
Number of Findings 
of Defective 
Equipment Factor 
0 1.000 
1 or more 1.367 
 
Table 2-5. Number of Incidents 
Number of Incidents Factor 
0 1.000 
1 1.050 
2 1.081 
3 1.103 
4 1.121 
5 1.135 
6 or more 1.148 
 
Table 2-6. Number of Months Since Last Chargeable Event 
Number of Months Since Last Incident 
  And less than   
Greater Than or equal to Factor 
0 5 1.081 
5 11 1.067 
11 17 1.054 
17 23 1.040 
23 29 1.026 
29 36 1.013",1.0,factor table,0.95,
40,"BERKLEY CASUALTY COMPANY 
SMALL BUSINESS TRANSPORTATION PROGRAM 
DIVISION ONE - AUTOMOBILE COMMERCIAL LINES MANUAL 
 
Company Rules 
 
MULTISTATE 
 
CRR Driver Quality Factor - 5 Edition 08 24 
 
 
36   1.000 
 
Table 2-7. Average MVR Score 
Average MVR Score 
Greater And less than or Selected Greater And less than or Selected 
than equal to Factor than equal to Factor 
0 1 1.000 1.628 1.644 1.727 
1 1.02 1.014 1.644 1.66 1.750 
1.02 1.036 1.028 1.66 1.676 1.773 
1.036 1.052 1.042 1.676 1.692 1.797 
1.052 1.068 1.056 1.692 1.708 1.821 
1.068 1.084 1.071 1.708 1.724 1.845 
1.084 1.1 1.086 1.724 1.74 1.869 
1.1 1.116 1.101 1.74 1.756 1.894 
1.116 1.132 1.116 1.756 1.788 1.919 
1.132 1.148 1.131 1.788 1.82 1.944 
1.148 1.164 1.147 1.82 1.852 1.969 
1.164 1.18 1.163 1.852 1.884 1.997 
1.18 1.196 1.179 1.884 1.916 2.025 
1.196 1.212 1.195 1.916 1.948 2.053 
1.212 1.228 1.212 1.948 1.98 2.081 
1.228 1.244 1.228 1.98 2.012 2.113 
1.244 1.26 1.245 2.012 2.044 2.145 
1.26 1.276 1.263 2.044 2.076 2.177 
1.276 1.292 1.280 2.076 2.108 2.209 
1.292 1.308 1.298 2.108 2.14 2.244 
1.308 1.324 1.316 2.14 2.172 2.279 
1.324 1.34 1.334 2.172 2.204 2.314 
1.34 1.356 1.352 2.204 2.252 2.349 
1.356 1.372 1.371 2.252 2.3 2.389 
1.372 1.388 1.390 2.3 2.348 2.429 
1.388 1.404 1.409 2.348 2.396 2.469 
1.404 1.42 1.429 2.396 2.444 2.509 
1.42 1.436 1.449 2.444 2.492 2.551 
1.436 1.452 1.469 2.492 2.54 2.593 
1.452 1.468 1.489 2.54 2.588 2.635 
1.468 1.484 1.509 2.588 2.636 2.677 
1.484 1.5 1.530 2.636 2.684 2.722",1.0,factor table,0.95,
41,"BERKLEY CASUALTY COMPANY 
SMALL BUSINESS TRANSPORTATION PROGRAM 
DIVISION ONE - AUTOMOBILE COMMERCIAL LINES MANUAL 
 
Company Rules 
 
MULTISTATE 
 
CRR Driver Quality Factor - 6 Edition 08 24 
 
 
1.5 1.516 1.551 2.684 2.732 2.767 
1.516 1.532 1.572 2.732 2.78 2.812 
1.532 1.548 1.593 2.78 2.828 2.857 
1.548 1.564 1.615 2.828 2.876 2.905 
1.564 1.58 1.637 2.876 2.924 2.953 
1.58 1.596 1.659 2.924 2.972 3.001 
1.596 1.612 1.681 2.972 3.02 3.049 
1.612 1.628 1.704 3.02   3.099",1.0,factor table,0.95,
42,"08 24 edition 
 
BERKLEY CASUALTY COMPANY 
 
SMALL BUSINESS TRANSPORTATION PROGRAM 
DIVISION ONE – AUTOMOBILE COMMERCIAL LINES MANUAL 
 
ISO State Insurance Manual Exceptions 
 
MULTISTATE 
RULE 24.  TRUCKERS / MOTOR CARRIERS 
The proprietary changes in BSB edition 08 19 are withdrawn.",1.0,rule,0.95,
43,"10 24 edition 
 
BERKLEY CASUALTY COMPANY 
 
SMALL BUSINESS TRANSPORTATION PROGRAM 
DIVISION ONE – AUTOMOBILE COMMERCIAL LINES MANUAL 
ISO State Insurance Manual Exceptions 
Company Rules 
 
MULTISTATE 
RULE 25.  PREMIUM DEVELOPMENT – ZONE RATED AUTOS 
1.  Except with respect to Trailer Interchange, Section 25.B Development of Zone Combination is 
withdrawn in its entirety 
2. Section 25.C.1.d is replaced by the following: 
Determine the base loss cost for the desired coverage from the Zip Code Zone Loss Cost table utilizing 
vehicle’s garaging zip code as look- up.  If zip code is not found, utilize the State Zone Loss Cost table 
utilizing vehicle’s garaging state as look-up. 
3. Section 25.E.  Zone-rating Tables is withdrawn in its entirety",1.0,rule,0.95,
44,"10 24 edition 
 
BERKLEY CASUALTY COMPANY 
 
SMALL BUSINESS TRANSPORTATION PROGRAM 
DIVISION ONE – AUTOMOBILE COMMERCIAL LINES MANUAL 
 
Company Rules 
 
MULTISTATE 
 
WEIGHTED AVERAGE RADIUS / ZONE RULE 
 
A.  For each Truck, Tractor or Trailer, the premium will be the average of the local, intermediate and 
long distance premiums for that vehicle weighted by the expected distribution of mileage by 
radius for the upcoming policy term. 
B. Local and intermediate radii will be determined as set forth in Rules 22 and 23. 
C. For long distance radius will be determined as set forth in Rule 25. 
D. This rule will be applicable to Liability, Pollution Liability, Comprehensive, Specified Causes of 
Loss, and Collision coverages. 
E. Example: 
1. Vehicle A is garaged in zip 12345 Terr 123 in XX state.  The annual mileage for Vehicle A is 
100,000.  Vehicle A is expected to have 25,000 miles within the local radius, 25,000 miles 
within the intermediate radius, and 50,000 miles long distance. 
2. The premium would be calculated as follows: 
(Final liability premium for Vehicle A rated as local)*25,000/100,000 
+ (Final liability premium for Vehicle A rated as intermediate)*25,000/100,000 
+ (Final liability premium for Vehicle A rated as long-distance)*50,000/100,000 
= Final liability premium for Vehicle A.",1.0,rule,0.95,
45,"Violation Category Mapping Table Edition 06 24
State Code Description Driver Quality Factor Category
ALL 1110 NO SVC DESCRIPTION AVAILABLE Not Applicable
ALL 1120 UNCLASSIFIED (UNCL) STATE CODE Not Applicable
ALL 1130 STATE CODE/DESCRIPTION NOT VALID Not Applicable
ALL 11010 SALES VIOLATION BY MFR OR DLR Not Applicable
ALL 11020 VIOLATION BY BUSINESS OTHER THAN MFR OR DLR Not Applicable
ALL 11100 REG VIOL, GENERALLY Minor Violation
ALL 11110 DRIV OR PERM OPER OF VEH NOT REG Not Applicable
ALL 11210 REG TO BE CARRIED IN VEH AND DISPL Not Applicable
ALL 11220 VEH SHALL DISPL REG PLATES Not Applicable
ALL 11230 REG PLATES TO BE CLEARLY VISIBLE Not Applicable
ALL 11310 VEH NOT TO BE OPER W/O REG/PLATES Not Applicable
ALL 11320 VEH NOT TO BE OPER WHILE REG IS SUSP/REV Not Applicable
ALL 11410 LEND/BORROW OR PERM USE REG CARD, PLATE, TITLE Not Applicable
ALL 11510 ALL VEH TO SUBMIT TO VEH INSP Not Applicable
ALL 11520 CERTIF OF INSP TO BE DISPL AT ALL TIMES Not Applicable
ALL 11530 UNLAWFUL TO DISPL FALSE CERTIF OF INSP Not Applicable
ALL 11610 OWNER TO RET REG MATERIAL UPON SUSP/REV/CANC Not Applicable
ALL 11710 ALTER, FORGE, COUNTERFEIT TITLE, REG, PLATES Minor Violation
ALL 11720 POSSESSION/USE OF ALTERED TITLE, REG, PLATES Minor Violation
ALL 11730 USE OF FALSE NAME/STATMT TO OBTAIN TITLE, REG Minor Violation
ALL 11800 OWNER TO NOTIFY DEPT OF CHNG OF NAME/ADDRESS Not Applicable
ALL 11810 OWNER TO NOTIFY DEPT OF CHNG OF ADDRESS Not Applicable
ALL 11820 OWNER TO NOTIFY DEPT OF CHNG OF NAME Not Applicable
ALL 12010 LICENSING ACTION Not Applicable
ALL 12011 SUSPENSION Not Applicable
ALL 12012 REVOCATION Not Applicable
ALL 12013 REINSTATEMENT Not Applicable
ALL 12020 ADMINISTRATIVE MESSAGE Not Applicable
ALL 12030 HABITUAL OFFENDER Not Applicable
ALL 12100 NO DRIV LIC, GENERALLY Not Applicable
ALL 12110 DRIVE WITHOUT CORRECT LICENSE CLASS Not Applicable",1.0,factor table,0.95,
46,"ALL 12120 EXPIRED LICENSE Not Applicable
ALL 12130 PERSON UND 18/21 NOT TO OPER SCHOOL BUS Major Violation
ALL 12150 PERSONS UND 18 NOT DRIV FOR HIRE Major Violation
ALL 12210 FAIL TO SURR OUT-OF-ST PERM; MORE THAN 1 LIC Not Applicable
ALL 12300 UNSPECIFIED LIC MISREP, UNLAWFUL USE OF LIC Not Applicable
ALL 12310 UNLAWFUL TO LEND LIC Not Applicable
ALL 12320 UNLAWFUL TO DISPL ANOTHER PERSONS LIC Not Applicable
ALL 12330 USE OF FALSE NAME/OTHR STATMT TO OBTAIN LIC Not Applicable
ALL 12340 LICENSEE SHALL NOT PERM UNLAWFUL USE OF LIC Not Applicable
ALL 12350 FAIL TO COMPLY W/LIC PROVISIONS Not Applicable
ALL 12360 FAIL TO SURR SUSP/REV LIC Not Applicable
ALL 12370 UNLAWFUL TO DISPL ALTERED, CANC/SUSP/REV LIC Not Applicable
ALL 12380 MUTILATED LIC Not Applicable
ALL 12410 DRIV WHILE LIC SUSP/REV Major Violation
ALL 12420 VIOLATION OF OUT-OF-SERVICE ORDER Major Violation
ALL 12430 DEPT MAY EXTEND SUSP/REV FOR DWS/DWR Not Applicable
ALL 12440 NO OPER ON FOREIGN LIC DURING SUSP/REV Major Violation
ALL 12450 DRIV WHILE WITHDRAWN FOR HAB OFFENDER-MISDEM Major Violation
ALL 12460 DRIV WHILE WITHDRAWN FOR HAB OFFENDER-FELONY Major Violation
ALL 12500 PERM UNAUTH PERSON TO DRIV, GENERALLY Not Applicable
ALL 12510 PERM UNLICENSED DRIVER TO DRIVE Not Applicable
ALL 12520 PERM UNAUTH MINOR TO DRIV Not Applicable
ALL 12610 FREQ VIOLATOR AS DETERMINED BY PT SYSTEM Not Applicable
ALL 12620 HABITUALLY RECKLESS OR NEGLIGENT Not Applicable
ALL 12630 FREQ OF SERIOUS VIOL TO INDICATE DISREGARD Not Applicable
ALL 12710 LICENSEE TO NOTIFY DEPT OF NAME/ADDRESS CHNG Not Applicable
ALL 12720 FALSE AFFIDAVIT OF DRIVERS LICENSE APPLICATION Not Applicable
ALL 12730 FRAUDULENT LIC EXAM Not Applicable
ALL 13010 ID CARD VIOL Not Applicable
ALL 13110 DRIV TO CARRY LIC AND DISPL ON DEMAND Not Applicable
ALL 13200 VIOLATING CONDITIONS OF LIC, GENERALLY Not Applicable
ALL 13210 DRIV IN VIOL OF RESTR OF LIC Minor Violation
ALL 13220 VIOL OF INSTRUCTION PERM Not Applicable",1.0,rule,0.95,
47,"ALL 13230 VIOL OF PROVISIONAL, PROBATIONAL, JUVENILE LIC Not Applicable
ALL 13310 VIOL OF CONDITIONS OF EMPL-RELATED RESTR LIC Not Applicable
ALL 13320 VIOL OF OTHER OPERATIONALLY RESTR LIC Not Applicable
ALL 13410 REFUSAL TO SUBMIT TO CHEMICAL TEST Major Violation
MD 13410 REFUSAL TO SUBMIT TO CHEMICAL TEST Not Applicable
ALL 13420 NOTICE OF CHEMICAL TEST ABOVE LEGAL LIMIT Major Violation
MD 13420 NOTICE OF CHEMICAL TEST ABOVE LEGAL LIMIT Not Applicable
ALL 13510 LICENSEE NOT ENTITLED/GAVE WRNG INFO, LIC CANC Minor Violation
ALL 14110 LOSS OF CONSENT FOR MINOR'S LICENSE Minor Violation
ALL 15100 LICENSE OR REGISTRATION VIOL-NO DISTINCTION Minor Violation
ALL 15210 REGISTRATION/TITLE WITHDRAWN Not Applicable
ALL 15310 REGISTRATION RESTORED Not Applicable
ALL 16100 WITHDRAWAL RECREATIONAL VEHICLE Not Applicable
ALL 16110 SUSP OR WITHDRWAL, UNSPECIFIED, OTHER Not Applicable
ALL 16120 ADMIN WITHDRWAL, (FTA, TAX PAYMNT, ETC.) Not Applicable
ALL 16130 SR-22/FIN/JUDG/INS WITHDRWAL Not Applicable
ALL 16140 WITHDRWAL-FAIL TO COMPLY PROG/PROBATION Not Applicable
ALL 16150 OUT OF STATE WITHDRWAL Not Applicable
ALL 16160 ACCIDENT INVOLVEMENT WITHDRWAL Not Applicable
ALL 16170 ACCUMULATED OFFENSE WITHDRWAL Not Applicable
ALL 16180 POINT SYSTEM SUSP Not Applicable
ALL 16210 SERIOUS OFFENSE (NON-ALCOHOL) WITHDRWAL Not Applicable
ALL 16220 ALCOHOL/DRUG WITHDRAWAL Not Applicable
MD 16220 ALCOHOL/DRUG WITHDRAWAL Not Applicable
ALL 16230 HABITUAL OFFENDER WITHDRWAL Not Applicable
ALL 16240 COURT ORDERED WITHDRWAL Not Applicable
ALL 16250 WITHDRWAL REINSTATEMENT/APPEAL DENIED Not Applicable
ALL 16260 ALCOHOL (BAC ABOVE LEGAL LIMIT) WITHDRAWAL Not Applicable
MD 16260 ALCOHOL (BAC ABOVE LEGAL LIMIT) WITHDRAWAL Not Applicable
ALL 16290 REVOCATION, UNSPECIFIED, OTHER Not Applicable
ALL 16310 LIC RESTRICTION, PROB Not Applicable
ALL 16320 LICENSE RESTR/OCCUP LIC ISSUED Not Applicable
ALL 16330 SUSP OF ENDORSEMENT Not Applicable",1.0,rule,0.95,
48,"ALL 16340 PROBATION Not Applicable
ALL 16350 MODIFICATION OF COND/RESTRICTIONS Not Applicable
ALL 16360 APPEAL OF RESTRIC/PROB, ETC DENIED OR DROPPED Not Applicable
ALL 16410 CANCELLATION Not Applicable
ALL 16420 WITHDRWAL, LOSS OF CONSENT FOR MINOR Not Applicable
ALL 16430 WITHDRWAL, MEDICAL REASONS/INCOMPETENCY Not Applicable
ALL 16440 DECEASED Not Applicable
ALL 16450 WITHDRWL, INCORRECT INFO Not Applicable
ALL 16460 WITHDRWAL, FALSE INFO Not Applicable
ALL 16510 DENIAL, GENERAL Not Applicable
ALL 16520 FAILED EXAM Not Applicable
ALL 16530 FAILED WRITTEN EXAMINATION Not Applicable
ALL 16540 FAILED FIELD EXAMINATION Not Applicable
ALL 16550 FAILED VISION EXAMINATION Not Applicable
ALL 16560 FAILED SPECIAL EXAM/REVIEW Not Applicable
ALL 16610 VOL SURRENDER OF LICENSE Not Applicable
ALL 16690 DISQUALIFICATION, GENERALLY Not Applicable
ALL 16700 CDL DISQUALIFICATION, GENERALLY Not Applicable
ALL 16710 CDL DISQUALIFICATION: BAC .04+ Not Applicable
MD 16710 CDL DISQUALIFICATION: BAC .04+ Not Applicable
ALL 16720 CDL DISQUALIFICATION: BAC .10+ Not Applicable
MD 16720 CDL DISQUALIFICATION: BAC .10+ Not Applicable
ALL 16730 CDL DISQUALIFICATION: CHEMICAL TEST REFUSAL Not Applicable
MD 16730 CDL DISQUALIFICATION: CHEMICAL TEST REFUSAL Not Applicable
ALL 16740 CDL DISQUALIFICATION: DUI CONTROLLED SUBSTANC Not Applicable
MD 16740 CDL DISQUALIFICATION: DUI CONTROLLED SUBSTANC Not Applicable
ALL 16750 CDL DISQUALIFICATION: LEAVING SCENE OF ACCID Not Applicable
ALL 16760 CDL DISQUALIFICATION: INVOLVED IN FELONY Not Applicable
ALL 16810 CDL 3 YR DISQUAL: BAC .04+, HAZ MAT Not Applicable
MD 16810 CDL 3 YR DISQUAL: BAC .04+, HAZ MAT Not Applicable
ALL 16820 CDL 3 YR DISQUAL: BAC .10+, HAZ MAT Not Applicable
MD 16820 CDL 3 YR DISQUAL: BAC .10+, HAZ MAT Not Applicable
ALL 16830 CDL 3 YR DISQUAL: TEST REFUSAL, HAZ MAT Not Applicable",1.0,llm_new_category,0.85,
49,"MD 16830 CDL 3 YR DISQUAL: TEST REFUSAL, HAZ MAT Not Applicable
ALL 16840 CDL 3 YR DISQUAL: DUI CONTROL SUBST, HAZ MAT Not Applicable
MD 16840 CDL 3 YR DISQUAL: DUI CONTROL SUBST, HAZ MAT Not Applicable
ALL 16850 CDL 3 YR DISQUAL: LEAVING SCENE, HAZ MAT Not Applicable
ALL 16860 CDL 3 YR DISQUAL: INVOLVED IN FELONY, HAZ MAT Not Applicable
ALL 16890 CDL DISQUALIFICATION: MANSLAUGHTER, HAZ MAT Not Applicable
ALL 16910 CDL LIFE DISQUAL: MANUF, DISTR, DISP CONT SUB Not Applicable
MD 16910 CDL LIFE DISQUAL: MANUF, DISTR, DISP CONT SUB Not Applicable
ALL 16920 CDL LIFE DISQUAL: COMBINATION OF C11-C16 Not Applicable
ALL 16930 CDL DISQUAL: 2 SERIOUS CONVICTIONS IN 3 YRS Not Applicable
ALL 16940 CDL 120 DAY DISQUAL: 3 SERIOUS CONV IN 3 YRS Not Applicable
ALL 16990 CDL 24 HR OUT-OF-SERVICE: DETECTABLE ALCOHOL Not Applicable
MD 16990 CDL 24 HR OUT-OF-SERVICE: DETECTABLE ALCOHOL Not Applicable
ALL 17110 REIN, LIC RESTORED OR REISSUED Not Applicable
ALL 17120 WITHDRWAL, LIFTED/STAYED/APPEALED Not Applicable
ALL 17130 ELIGIBLE FOR LIC Not Applicable
ALL 17140 WITHDRAWN IN ERROR, EXPUNGED Not Applicable
ALL 17150 RESTORATION OF PRIV AFTER LIMIT OR RESTR Not Applicable
ALL 17160 RELEASE FROM PROBATION Not Applicable
ALL 17170 PARTIAL RESTORATION Not Applicable
ALL 17180 RESTRICTION/OTHER ACTION APPEALED (STAYED) Not Applicable
ALL 17210 REPEALED LAW Not Applicable
ALL 17220 NOT GUILTY,CHARGE VACATED,EXPUNGED,OVERTURNED Not Applicable
ALL 18110 IMPROVEMENT ACTION UNSPECIFIED, OTHER Not Applicable
MD 18120 ALCOHOL CLINIC, COURSE, PROGRAM Not Applicable
ALL 18120 ALCOHOL CLINIC, COURSE, PROGRAM Not Applicable
ALL 18130 CLASS, COURSE, SCHOOL Not Applicable
ALL 18140 EDUCATIONAL PROGRAM Not Applicable
ALL 18150 HEARING Not Applicable
ALL 18160 INTERVIEW Not Applicable
ALL 18170 WARNING LETTER Not Applicable
ALL 18210 SPECIAL EXAM REQUIRED Not Applicable
ALL 18220 SPECIAL REVIEW/MEDICAL/REQUIRED Not Applicable",1.0,rule,0.95,
50,"ALL 18310 RESCHEDULE/POSTPONED CLASS, HEARING ETC. Not Applicable
ALL 18320 FAILURE TO APPEAR INTERVIEW/HEAR/EXAM Not Applicable
ALL 18330 FAILURE TO ATTEND/COMPLETE COURSE, PROG Not Applicable
ALL 18340 NO ACTION Not Applicable
ALL 18410 RECORD FLAG Not Applicable
ALL 18420 FREQUENT VIOLATOR Not Applicable
ALL 18430 3 CONV IN ONE YEAR FLAG Not Applicable
ALL 18440 HABITUAL VIOLATOR FLAG Not Applicable
ALL 18450 FREQUENT ACCIDENTS FLAG Not Applicable
ALL 18460 ACTION PENDING Not Applicable
ALL 18470 UNDER INVESTIGATION REVIEW Not Applicable
ALL 18510 PUNISHMENT TERMS - FINE, JAIL, SERVICE, ETC Not Applicable
ALL 18520 FINANCIAL RESPONSIBILITY NOTICE REQUIREMENTS Not Applicable
ALL 19110 LICENSE ISSUED OR REISSUED Not Applicable
ALL 19120 CLASS OR ENDORSEMENT CHANGE Not Applicable
ALL 19130 ID CARD ISSUED, WITHDRAWN, ETC. Not Applicable
ALL 19140 CHANGE OF NAME; ADDRESS, DOB ETC. Not Applicable
ALL 19150 MOVED OUT OF STATE Not Applicable
ALL 19160 MOVING IN FROM ANOTHER STATE Not Applicable
ALL 19170 ORGAN DONOR Not Applicable
ALL 19210 POINT CREDIT Not Applicable
ALL 19220 DRIVER ED (HIGH SCHOOL ETC.) Not Applicable
ALL 19230 EXAM PASSED Not Applicable
ALL 19310 FINANCIAL TRANSACTION Not Applicable
ALL 19320 REQUIREMENTS SATISFIED Not Applicable
ALL 19330 BAD/PROTESTED CHECK Not Applicable
ALL 19340 FAILURE TO DEPOSIT SECURITY Not Applicable
ALL 19350 FEE DUE Not Applicable
ALL 19410 CORRESPONDENCE SENT Not Applicable
ALL 19420 LETTER NOT DELIVERED Not Applicable
ALL 19430 CORRESPONDENCE RECEIVED Not Applicable
ALL 21110 OWNER NOT TO PERM OPER OF UNINSURED VEH Minor Violation
ALL 21120 PERSON SHALL NOT DRIV UNINSURED VEH Minor Violation",1.0,rule,0.95,
